cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6
Mie gomak kuah andaliman masakan khas medan,Ayam masak bumbu makasar,Ayam gota tanpa darah,Sayur pepaya masak mangut asam,Ayam masak habang atau ayam bumbu bali,Nasi pecel lengkap lauk nasi uduk ayam usus goreng sambal,Ayam kampung masak woku manado
,Ayam andaliman kelapa gongseng,Dayok nabinatur bumbu gotatanpa gotakhas batak simalungunatautoba,Buncis tahu masak tauco medan,Ayam Gota,Ayam masak bumbu rw khas manadominahasa,Pangek ikan mas masakan padang
,Arsik daging ayam dan rebung,,Resep ayam woku khas manado sulawesi utara,,,
,,,Ayam gota,,,
,,,daun singkong masakan khas padang minang,,,
