cluster 0,Mie gomak kuah andaliman masakan khas medan
cluster 1,Ayam masak bumbu makasar,Ayam andaliman kelapa gongseng,Arsik daging ayam dan rebung
cluster 2,Ayam gota tanpa darah,Dayok nabinatur bumbu gotatanpa gotakhas batak simalungunatautoba
cluster 3,Sayur pepaya masak mangut asam,Buncis tahu masak tauco medan,Resep ayam woku khas manado sulawesi utara,Ayam gota,daun singkong masakan khas padang minang
cluster 4,Ayam masak habang atau ayam bumbu bali,Ayam Gota
cluster 5,Nasi pecel lengkap lauk nasi uduk ayam usus goreng sambal,Ayam masak bumbu rw khas manadominahasa
cluster 6,Ayam kampung masak woku manado,Pangek ikan mas masakan padang
